id,nLL,kernel,acq,R2,kError,lambda,beta,tau,epsilon,group
476,343.209312744523,RBF,GM,0.587378022097139,NA,0.891594068776441,NA,0.0587190716505024,NA,Control
476,328.966228781155,BMT,GM,0.604501710931236,3.0409988760478,NA,NA,0.0444462297696057,NA,Control
488,824.373528298816,BMT,epsilonGreedy,0.00890033240263399,5.05619732051768,NA,NA,0.216033606105596,NA,Control
488,771.830642985792,RBF,GM,0.0720697991318818,NA,1.12122394581326,NA,0.155590163244418,NA,Control
488,766.315558244752,RBF,UCB,0.0787002869701985,NA,0.475544178395139,0.416780208876526,0.0287935220441321,NA,Control
488,750.804319689569,RBF,epsilonGreedy,0.0973486094215386,NA,0.250908502010052,NA,0.50312341000736,NA,Control
488,796.641284674664,BMT,UCB,0.0422413076937073,0.00673832566749679,NA,0.174038450589806,0.0406543984386996,NA,Control
488,810.537280252381,BMT,GM,0.025534904436885,5.40033029066489,NA,NA,0.0646895436892348,NA,Control
495,496.369521810259,RBF,UCB,0.403241793696595,NA,0.658549151138698,0.236291146646069,0.0383973029791449,NA,Control
495,604.139429287274,BMT,epsilonGreedy,0.273675867801468,0.951172007835041,NA,NA,0.116287265707682,NA,Control
495,521.098243020487,BMT,UCB,0.373511790815326,4.96850899152395,NA,0.194903470598464,0.0148808333774831,NA,Control
495,532.430633424423,BMT,GM,0.359887471284346,3.75964595870225,NA,NA,0.0494714249693596,NA,Control
495,497.658675670561,RBF,GM,0.401691913795594,NA,1.1041289147687,NA,0.0771616939275938,NA,Control
495,665.754034338416,RBF,epsilonGreedy,0.199599963506789,NA,0.847206158424958,NA,0.209348897653649,NA,Control
512,764.322497947114,RBF,UCB,0.0810964354765282,NA,0.642990068705449,0.389620336151161,0.0756464117466393,NA,Control
512,836.952210047367,BMT,GM,-0.00622233574699527,17.1935346597211,NA,NA,0.0600576733731986,NA,Control
512,781.754031203712,RBF,GM,0.060139446656207,NA,1.39329862955166,NA,0.190524456437706,NA,Control
512,836.803807127191,BMT,epsilonGreedy,-0.00604391894950274,4.51576053756866,NA,NA,0.236272149393428,NA,Control
512,799.306727786075,BMT,UCB,0.0390367897282037,2.74470670526996,NA,0.237972308460726,0.0505875090581817,NA,Control
512,804.252835692118,RBF,epsilonGreedy,0.0330903519384129,NA,0.445422789971938,NA,22.1675533217216,NA,Control
541,738.828594147433,RBF,epsilonGreedy,0.111746375963779,NA,0.4026030155856,NA,0.428628356117918,NA,Control
541,616.535320661018,RBF,UCB,0.258772958624553,NA,0.602538451315715,0.320440850993482,0.034439885954,NA,Control
541,712.21515758326,BMT,GM,0.143742270090566,4.6288862696188,NA,NA,0.049244859037765903,NA,Control
541,749.702061086753,BMT,epsilonGreedy,0.0986737952715895,14.0690063263568,NA,NA,0.16869324978409,NA,Control
541,644.113158028426,RBF,GM,0.22561761761755,NA,1.10712108572197,NA,0.0949353216836029,NA,Control
541,711.123541797522,BMT,UCB,0.145054660657766,4.42905769864713,NA,0.197227371289302,0.0210615758278929,NA,Control
553,696.32563799025,RBF,epsilonGreedy,0.162845379356353,NA,0.753263477287373,NA,0.420516511243988,NA,Control
553,688.67939595728,RBF,GM,0.172038042241688,NA,1.48655895913741,NA,0.112092899609765,NA,Control
553,740.713619249853,BMT,GM,0.109480112324434,15.4300449762312,NA,NA,0.00673794699932732,NA,Control
553,775.889846463482,BMT,epsilonGreedy,0.0671896385258627,5.38562207740645,NA,NA,0.249358947472397,NA,Control
553,707.039869218376,BMT,UCB,0.14996423913989,6.99270141955882,NA,0.302462302630108,0.00675277576132091,NA,Control
553,662.786853771087,RBF,UCB,0.203167244081712,NA,0.547686758969075,0.39094241668873,0.0291692448054782,NA,Control
589,332.615837200008,RBF,UCB,0.600113984292015,NA,0.789683091931067,0.0208664409178603,0.0388431804159243,NA,Control
589,406.317140300017,RBF,epsilonGreedy,0.511506897217483,NA,0.080278028739205,NA,0.0796883625802519,NA,Control
